id	lat	lon	name
5489351424	41.0192700	28.9648990	Eminönü Kantarcılar
5491544129	41.0801800	29.0119500	Fabrikalar
5491544224	41.0765590	29.0145460	Levent
5491563221	41.0606580	29.0112420	Balmumcu
5491563721	41.0857950	29.0076380	4. Levent;4.levent
5492978821	41.1065370	29.0138544	Maslak Kavşağı
5493411821	41.0267361	28.9804571	Tophane
5493980624	41.0267886	28.9798829	Tophane
5519222900	41.0273830	28.9387480	Şehit Yunus Emre Ezer
5558390021	40.9905296	29.1265983	Turgut Özal Bulvarı
5674301399	40.8986939	29.2141367	Şehit Ahmet Yalçın
5675541813	40.8987704	29.2099609	Hakimiyet Caddesi
5820895199	40.9841738	29.0590706	Mustafa Mazhar Bey Sokak
5820895200	40.9838929	29.0594480	Mustafa Mazhar Bey
5820895201	40.9856872	29.0594326	Dr. Erkin Caddesi
5820895202	40.9844887	29.0586383	Dr. Erkin Caddesi
5820895203	40.9836728	29.0587488	Mustafa Mazhar Bey
5887084945	40.8626880	29.3354820	Cem Sultan Caddesi
5887084946	40.8624450	29.3356550	Cem Sultan Caddesi
5896375398	40.8729499	29.3324135	Tepe Mahallesi
5896375399	40.8728350	29.3325950	Tepe Mahallesi
5896507138	40.8636880	29.3367280	Yahya Kemal Mesleki Ve Teknik Anadolu Lisesi
5896507139	40.8638920	29.3367490	Yahya Kemal Mesleki Ve Teknik Anadolu Lisesi
5899002031	40.8642350	29.3401440	Necip Fazıl Kısakürek Camii
5899500450	40.8646090	29.3425450	Gökberk Sokak
5899500451	40.8647660	29.3424450	Gökberk Sokak
5899500452	40.8644200	29.3402230	Necip Fazıl Kısakürek Camii
5899500457	40.8675000	29.3261562	Aydınlı Park
5899500458	40.8678800	29.3253650	Aydınlı Park
5899500459	40.8688730	29.3242146	Leylak Sokak
5899500460	40.8687240	29.3242980	Leylak Sokak
5899500461	40.8694820	29.3220970	Telefon Santralı;Telefon Santrali
5899500462	40.8693707	29.3220074	Telefon Santralı;Telefon Santrali
5899527371	40.8663245	29.2845480	Gülizar Zeki Obdan Anadolu Lisesi
5899527372	40.8662097	29.2848398	Gülizar Zeki Obdan Anadolu Lisesi
5899527373	40.8682375	29.2824710	Kemikli Dere
5899527374	40.8680754	29.2824297	Kemikli Dere
5899547432	40.8887000	29.2382150	Pendik Köprüsü
5899559848	40.8676126	29.2711914	Tersane Köprüsü-1
5899651761	40.8702720	29.3344820	Erdost Sokağı;Erdost Sokak
5899651762	40.8702150	29.3343450	Erdost Sokağı;Erdost Sokak
5899651765	40.8706150	29.3305260	Aydınlı Muhtarlık;Aydınlı Muhtarlığı
5899651766	40.8706460	29.3302440	Aydınlı Muhtarlık;Aydınlı Muhtarlığı
5899651784	40.8475776	29.2938104	Tersaneler
5899653328	40.8178229	29.3019874	Bahçeler
5899653329	40.8177823	29.3017042	Bahçeler
5899653332	40.8163528	29.2944274	İtü Denizcilik Fakültesi
5899653333	40.8165824	29.2950116	İtü Denizcilik Fakültesi
5899653337	40.8180244	29.2834191	Cengaver Sokak
5905685771	40.8707020	29.3262320	Nişancı Mehmet Paşa Camii
5905685772	40.8706300	29.3261580	Nişancı Mehmet Paşa Camii
5905702200	40.8686580	29.3269130	Bahar Caddesi
5905702201	40.8684880	29.3267670	Bahar Caddesi
5936628926	40.8977960	29.2244660	Keresteciler Durağı;Keresteciler
5936628929	40.9103000	29.2003530	Ağız ve Diş Sağ. Mrk.;Ağız Ve Diş Sağlığı Merkezi
5936628931	40.9139174	29.1886827	İBB Ek Hizmet Binası
5936628932	40.9159749	29.1821172	Anadolu Adalet Sarayı
5936628934	40.9183675	29.1643738	Tugay Yolu Caddesi
5936628936	40.9156607	29.1700739	Dr. Lütfi Kırdar Şehir Hastanesi
5936628937	40.9159581	29.1704559	Dr. Lütfi Kırdar Şehir Hastanesi
5936628938	40.9173287	29.1759058	Dr. Lütfi Kırdar Şehir Hastanesi
5936628939	40.9152894	29.1821713	Anadolu Adalet Sarayı
5936628940	40.9132933	29.1886170	İBB Ek Hizmet Binası
5936628941	40.9108330	29.1967850	Kartal Sanayi
5936628947	40.8766976	29.2627359	Kaynarca
5942847654	41.0194528	28.9478564	Fatih
5942878708	41.0229374	28.9441542	Yavuz Selim
5942878711	41.0252060	28.9404920	Karagümrük-Şht A.Acarkan
5953232985	41.0135343	28.9448247	İskenderpaşa
6012067946	40.9833186	29.1183603	Kılıç Reis Sokak
6052905885	40.8783465	29.2275916	Pendik Devlet Hastanesi
6059123085	41.2348688	29.1083513	Kale Caddesi
6116332601	40.8610006	29.2817764	Güzelyalı
6128507507	40.8556504	29.2852970	Ticaret Odası Meslek
6128507508	40.8555059	29.2853970	Ticaret Odası Meslek
6128507517	40.8564040	29.2797395	Güzelyalı İstasyonu
6128507518	40.8562283	29.2798709	Güzelyalı İstasyonu
6131035208	40.8597110	29.2811530	Güzelyalı Köprüsü
6131325094	40.8377050	29.3602720	Narin Sokak
6150305330	40.8486401	29.2964547	İçmeler Köprüsü
6150305331	40.8475575	29.2949909	Tersaneler
6150305332	40.8450602	29.2978507	Şifalı Sular
6150305333	40.8430420	29.3005033	Tuzla Belediyesi
6150305334	40.8416403	29.3040314	Gülistan
6150305335	40.8408099	29.3063802	Evliya Çelebi Camii
6150305336	40.8408799	29.3067811	Evliya Çelebi Camii
6150305359	40.8417768	29.3041227	Gülistan
6150305360	40.8442452	29.2993425	Tuzla Belediyesi
6150305361	40.8444627	29.2956098	Şifalı Sular
6150305362	40.8459427	29.2946197	Tersaneler
6152410498	40.8594518	29.2802214	Yunus Emre
6152410503	40.8721017	29.2665914	Kaynarca Alt Geçit
6152410504	40.8723959	29.2644300	Şehit Ozan Özen
6152410505	40.8724868	29.2645253	Şehit Ozan Özen
6152410516	40.8761363	29.2486802	Kaynarca Parkı
6152410518	40.8816318	29.2391267	Mostar Kavşağı
6152410519	40.8815176	29.2388523	Mostar Kavşağı
6152410520	40.8823410	29.2360636	Gonca Sokak
6152410521	40.8823129	29.2355313	Gonca Sokak
6152410522	40.8810053	29.2319097	Pendik YHT İstasyonu
6152410523	40.8808096	29.2277733	Sancak Köprüsü
6152410524	40.8806282	29.2272781	Sancak Köprüsü
6152410525	40.8774695	29.2275941	Pendik Devlet Hastanesi
6152437888	40.8807412	29.2306273	Pendik YHT İstasyonu
6152437890	40.8789018	29.2218139	Pendik Anadolu Lisesi
6152437892	40.8802367	29.2162208	Veteriner Araştırma
6152437893	40.8800740	29.2161430	Veteriner Araştırma
6152437894	40.8834423	29.2084198	Yunus
6152437895	40.8832798	29.2083820	Yunus
6152437896	40.8854871	29.1994175	Hava Evleri
6152437897	40.8853427	29.1994582	Hava Evleri
6152437898	40.8870090	29.1952751	Bülent Ecevit Kültür Merkezi
6152437899	40.8869261	29.1950478	Bülent Ecevit Kültür Merkezi
